cz,Name,College_Graduation_Rate_rP_gP_pall,EmploymentRate,JobDensity
cz34302,Worland,0.2983,0.8142,1.551
cz12002,Ludington,0.2981,0.7827,21.7
cz4901,Jackson,0.2981,0.7772,36.13
cz28503,Trinidad,0.2975,0.7684,1.285
cz36600,Redding,0.2972,0.7297,13.17
cz10801,Tuscaloosa,0.2972,0.7504,28.11
cz14400,Terre Haute,0.2969,0.7969,37.63
cz1302,Florence,0.2968,0.7564,51.35
cz13200,Owensboro,0.2966,0.7849,32.75
cz15800,Athens,0.2965,0.7355,29.6
cz4102,Pine Bluff,0.2963,0.7592,11.13
cz29503,St. Joseph,0.2961,0.7978,26.05
cz14000,Muncie,0.2961,0.7824,73.87
cz3202,Natchez,0.2961,0.7611,9.526
cz21201,Hutchinson,0.2958,0.8511,22.98
cz26601,Milbank,0.2957,0.8618,4.806
cz10502,Starkville,0.2954,0.7554,17.81
cz34001,Hot Springs,0.2945,0.7402,15.62
cz37604,Reno,0.2945,0.7655,18.69
cz29901,Joplin,0.2944,0.7786,36.42
cz30904,Pampa,0.2943,0.7635,5.329
cz26103,Brookfield,0.2943,0.8003,6.113
cz21001,Ashland,0.2941,0.8171,5.482
cz4103,El Dorado,0.2933,0.763,9.543
cz5700,Tullahoma,0.2933,0.7581,39.08
cz13102,Madison,0.293,0.8028,35.01
cz39201,La Grande,0.2929,0.7646,3.308
cz2700,Gulfport,0.2925,0.7439,45.47
cz29303,Winfield,0.2917,0.8058,6.225
cz27004,Winner,0.2915,0.8104,1.9
cz37300,Chico,0.2912,0.7252,32.73
cz30903,Amarillo,0.2912,0.763,22.85
cz28502,Pueblo,0.2909,0.7705,10.78
cz30901,Clovis,0.2903,0.7612,6.989
cz602,Galax,0.2903,0.7533,21.8
cz26101,Moberly,0.2903,0.801,9.585
cz10400,Meridian,0.2901,0.7562,18
cz32301,San Angelo,0.2895,0.766,9.81
cz14801,Olney,0.2895,0.7991,12.92
cz4101,Crossett,0.2893,0.7534,8.595
cz32602,Graham,0.2891,0.7361,4.633
cz1100,Hickory,0.289,0.7648,112.3
cz21600,Brainerd,0.2886,0.8163,9.139
cz26701,Bemidji,0.2883,0.8161,8.516
cz13103,Bardstown,0.2882,0.7945,32.43
cz9500,Talladega,0.2881,0.7557,21.64
cz32100,Beaumont,0.2879,0.7578,33.14
cz9400,Gainesville,0.2875,0.7365,92.27
cz10501,Columbus,0.2872,0.7513,16.68
cz1002,Morganton,0.287,0.7458,46.14
cz36403,Soda Springs,0.2868,0.774,2.345
cz1400,Fayetteville,0.2867,0.7446,63.76
cz14802,Vincennes,0.2864,0.8094,25.96
cz27003,Ainsworth,0.2863,0.8305,0.9428
cz29902,Center,0.2862,0.7673,9.643
cz4401,London,0.286,0.7112,28.2
cz2600,Roanoke Rapids,0.2859,0.7752,18.71
cz35300,Farmington,0.2856,0.7549,9.433
cz39205,John Day,0.2849,0.7913,0.617
cz31101,Victoria,0.2849,0.782,16.57
cz34501,Bonners Ferry,0.2848,0.7181,3.557
cz31202,Burnet,0.2841,0.7251,14.13
cz36401,Steamboat Springs,0.2834,0.8028,2.273
cz29401,Ottawa,0.2826,0.7996,11.68
cz35701,Twin Falls,0.2815,0.7739,8.367
cz25602,Harrisburg,0.2813,0.7566,15.75
cz3002,Yazoo City,0.2811,0.7368,8.15
cz30602,Alamogordo,0.281,0.7556,2.785
cz9600,LaGrange,0.281,0.7494,53.48
cz32403,Snyder,0.281,0.7725,4.207
cz3901,Monroe,0.2808,0.7533,25.64
cz29506,Bethany,0.2808,0.8157,5.64
cz36901,Crescent City,0.2797,0.7099,6.389
cz32900,Killeen,0.2795,0.7662,56.06
cz26406,Wolf Point,0.2794,0.7635,1.144
cz9701,Columbus,0.2792,0.7533,51.17
cz34502,Libby,0.2792,0.7637,1.956
cz15400,Zanesville,0.279,0.7779,32.61
cz6302,Cookeville,0.279,0.7331,34.22
cz30701,Roswell,0.2789,0.7554,5.015
cz38602,Colville,0.2788,0.7457,3.736
cz36902,Roseburg,0.2785,0.7414,9.515
cz800,Gastonia,0.2781,0.7528,115
cz4002,Shreveport,0.278,0.7648,32.89
cz12902,Mount Sterling,0.2776,0.7349,25.93
cz17000,Pikeville,0.2776,0.6727,20.73
cz26001,Roseau,0.2773,0.8353,3.528
cz31700,Corpus Christi,0.2772,0.7762,28.32
cz1702,Henderson,0.2768,0.7573,33.06
cz5900,Clarksville,0.2768,0.7545,41.74
